,0
worst perimeter,0.39213521543627905
worst concave points,0.21829096750241303
worst radius,0.11152706476082337
mean concave points,0.09941999415354749
worst area,0.04476037288393917
worst texture,0.030902211027492497
mean texture,0.027156682620011856
area error,0.014852506337512911
worst smoothness,0.00939146058846789
texture error,0.008463412055016762
concavity error,0.007752793727146476
mean concavity,0.005846655463214732
worst compactness,0.005187746540329226
mean perimeter,0.0035275519744430305
perimeter error,0.0030274693242839323
worst fractal dimension,0.0026187590753229415
worst concavity,0.002488067458188305
fractal dimension error,0.0024475106749156394
worst symmetry,0.002116520121642221
mean area,0.0020990365982897973
smoothness error,0.0016696121119856974
mean radius,0.001308085893471953
compactness error,0.0008414003525659044
mean compactness,0.000737430303015708
concave points error,0.0005210451334214512
mean smoothness,0.0003907823768369716
radius error,0.0003083733299635902
mean symmetry,0.00019130237883759337
mean fractal dimension,1.9969796620854597e-05
symmetry error,0.0
